Date,ts_code,RSI,5upcross60,now_high_close,std_60,30_down,diff_MA60-MA90,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,dv_ratio,total_mv,alpha001,alpha005,alpha020,alpha025,alpha033,alpha039,alpha088,pct_chg
2019-07-22,603826.SH,58.579277326062936,0.25,-0.44,2.8903,-0.1,-4.46,15.54,1.7754,1.63,40.3577,40.7346,5.6372,12.3944,0.297,727272.0,0.8375125376128385,-0.2888246250367611,-0.0041997744821472,0.3329969727547931,0.1079207920792079,-1.238143650520187,0.0841584158415841,2.51
2020-01-07,603828.SH,63.12130330216866,0.2799999999999999,-1.44,1.7764,0.72,-4.6,5.44,1.3268,1.48,51.5667,96.8346,2.6132,1.262,0.2969,301013.9549,0.8473498233215547,-0.2305270610355519,-0.264129367636349,0.2085976039464411,0.2642559109874826,-0.9267340558896806,0.5152990264255911,1.3
2021-03-05,603829.SH,63.30312089271602,0.16,-0.36,4.1984,1.01,-4.16,10.67,1.5693,1.3,35.3607,23.813,2.3881,2.7789,0.9372,170720.0,0.8262614678899083,-0.3072034761960571,-0.0374066173594508,0.328719723183391,0.1331828442437923,-1.5229040421629405,0.3814898419864559,2.6
2019-12-31,603838.SH,65.80611826917608,0.1699999999999999,-0.12,1.9665,-1.78,-2.73,8.38,0.7869,2.64,52.2379,54.3212,2.9519,4.999,0.5967,223477.84,0.8529672276350753,-0.0872256096625884,-0.1802761296331037,0.3508459483526269,0.126970227670753,-0.9707810626951672,0.5433450087565674,2.7
2020-04-09,603838.SH,56.19505887827268,0.4499999999999999,-0.61,4.2887,-5.82,-1.01,7.94,0.3111,0.81,49.4951,51.469,2.7969,4.7365,0.6297,211743.92,0.8529672276350753,-0.0550563426072181,-0.21299857108728,0.3615316117542297,0.4430823117338003,-1.1848276610544075,0.658493870402802,0.38
2017-08-31,603858.SH,59.4951281314904,0.26,-0.27,2.605,-0.52,-1.98,69.59,1.5331,0.99,26.8155,25.7553,3.8943,3.8509,0.0,4744646.2,0.8537258509659613,-0.2871731096112527,-0.0232896651023951,0.3869485294117647,0.3116531165311653,0.0,0.5528455284552846,0.65
2019-02-22,603858.SH,59.312024144837686,0.5599999999999999,0.0,3.1258,-1.06,-1.32,26.08,1.5776,1.12,14.1126,13.412,1.7434,1.6673,4.7605,2311574.72,0.0823367065317387,-0.0357746426003856,-0.0563662927521857,0.4917279411764705,0.1942186088527552,-0.8541046831955923,0.5971093044263776,1.32
2018-11-14,603860.SH,64.24682032908795,0.4599999999999999,-1.3,5.3905,0.08,-7.01,24.89,1.3954,1.53,35.3848,36.9897,2.941,8.6304,0.0,165966.52,0.8333333333333334,-0.0570196459721467,-0.0665112434992676,0.2794759825327511,0.2513368983957219,-0.8177025736402936,0.1550802139037433,0.73
2019-11-01,603861.SH,52.830534752522574,0.37,-0.21,1.8426,-4.32,-2.89,9.09,0.1946,1.02,24.2146,36.9451,1.7613,1.5949,0.9484,410804.959,0.0777777777777777,-0.2197223643671365,-0.0365520608686589,0.3895547945205479,0.1937657961246841,-1.4974847313071449,0.8702611625947767,1.5599999999999998
2017-08-25,603866.SH,60.601186328040114,-0.0,-0.77,2.8591,-5.220000000000001,-2.2,35.41,0.8518,0.78,36.5954,37.1169,7.571,4.822,1.55,1593896.166,0.8344748858447488,-0.016350794745246,-0.1171545621948661,0.3636363636363636,0.3049698795180723,-0.5646844058233751,0.7289156626506024,1.17
2019-01-15,603866.SH,65.25717145995144,0.49,-1.35,3.2908,3.12,-4.65,49.5,0.2412,2.29,45.3864,37.6923,7.1856,5.7102,1.6162,2329598.7,0.8344748858447488,-0.2387790998330672,-0.2520945558664175,0.147440794499618,0.0474397590361445,-1.5065853584956492,0.2364457831325301,4.279999999999999
2021-05-17,603866.SH,60.74915007136315,0.5599999999999999,-0.93,3.4089,0.95,-5.01,37.09,0.9258,2.54,40.0046,41.4907,8.1795,5.9228,1.8622,3531760.9211,0.8344748858447488,-0.8207831325301205,-0.8395223381231767,0.0221543162719633,0.0052710843373493,-0.933004948227078,0.045933734939759,8.51
2018-07-23,603868.SH,59.6989567860199,0.0,-1.15,4.2469,1.12,-3.5000000000000004,51.58,1.283,1.88,26.8969,27.7621,11.6343,5.8307,1.94,2246824.8,0.845748987854251,-0.3388355662392547,-0.2031601259519999,0.1777597402597402,0.1358912869704236,-1.1956793807882629,0.7274180655475619,2.16
2019-01-18,603868.SH,54.26717447594315,0.18,-0.12,2.0875,-2.23,-7.27,38.14,1.6121,1.36,19.8885,19.4051,6.988,4.3114,3.9329,1661378.4,0.845748987854251,-0.042366746091536,-0.073711373824,0.4650974025974026,0.2310151878497202,-0.6815372470493097,0.6898481215027977,0.8999999999999999
2019-09-12,603868.SH,58.85228236340752,0.06,-0.24,1.8104,-1.54,-0.18,37.3,0.1107,0.59,19.2306,20.7386,7.1244,4.0859,4.0214,1624788.0,0.3995951417004048,-0.1489088505374756,-0.0469939008,0.4472402597402597,0.3940847322142286,-1.0227639576153162,0.4740207833733013,0.51
2020-04-14,603868.SH,55.1708543054765,0.11,-0.5599999999999999,2.7957,-3.22,-1.09,36.56,0.1695,1.06,18.8491,21.1047,6.4366,4.0049,4.1028,1592553.6,0.845748987854251,-0.0784804610348491,-0.16541339136,0.3823051948051948,0.3229416466826539,-1.060432190281816,0.7306155075939249,0.63
2019-09-12,603876.SH,61.63699733538116,0.84,-0.33,3.9817,-2.24,-2.93,15.12,0.8228,0.56,23.5171,22.7874,1.7662,0.6318,0.6614,650160.0,0.2439516129032258,-0.2819043954590505,-0.0442824392866633,0.4032258064516129,0.4574049803407601,-0.93899388549194,0.7431192660550459,0.47
2020-11-20,603876.SH,63.45491747289639,0.24,-0.41,3.9232,-0.0699999999999999,-5.58,14.29,1.6257,0.92,20.0718,58.9952,1.7256,0.5515,0.6939,619657.2714,0.8501344086021505,-0.3038293004265084,-0.1762559558948222,0.3413978494623655,0.3079947575360419,-1.2057045580878267,0.0642201834862385,1.13
2019-02-25,603880.SH,66.60421060808984,0.5,-0.3,4.99,2.01,-1.66,12.8,4.322,1.53,34.957,28.2086,2.9202,3.4049,0.8714,166400.0,0.8496969696969697,-0.0348660168381296,-0.6059185834387552,0.2779126213592233,0.1174377224199288,-0.7785349507837546,0.1743772241992882,4.15
2019-07-31,603881.SH,62.097597195659226,0.02,-0.42,3.418,-0.84,-7.22,32.66,3.1594,1.55,48.1449,47.3776,6.7195,7.5606,0.5205,687775.5351,0.8342911877394636,-0.1124088999999098,-0.1610964503847604,0.3723404255319149,0.168091168091168,-0.9945706458149024,0.1737891737891738,2.6100000000000003
2021-05-25,603881.SH,61.05781521163893,0.35,-1.03,4.2111,-0.83,-6.45,34.49,2.3571,1.52,83.1976,81.1748,3.9425,12.4703,0.0984,1134469.9025,0.8342911877394636,-0.6153034472122791,-0.1751640482475088,0.2949709864603481,0.3618233618233618,-0.850884202315383,0.2440645773979107,0.58
2017-05-31,603883.SH,59.30288632412788,0.52,-1.02,3.321,-0.2,-0.53,44.64,1.4142,0.92,40.145,35.9914,6.0695,1.9557,0.672,1191888.0,0.8412526997840173,-0.0084687265130152,-0.1694735907897781,0.3840579710144927,0.4860614724803431,-0.7235007496251875,0.4381701215153681,0.72
2016-04-01,603885.SH,55.868297794239055,0.11,-2.73,6.4429,-3.82,-11.57,25.96,3.9893,1.63,68.9538,30.6243,8.9615,4.4368,1.1556,2949056.0,0.8507256392536282,-0.4945655578894212,-0.334773558190975,0.0723226703755215,0.332875772134523,0.0,0.1846259437199725,2.04
2019-02-14,603885.SH,62.757707510876,0.04,-0.47,4.2107,-0.47,0.06,12.9,0.2959,0.76,17.4871,15.2889,2.3973,1.8677,1.7674,2318147.3853,0.8507256392536282,-0.1226653426597935,-0.0445937655263343,0.4061196105702364,0.2525737817433082,-1.069655172413793,0.5525051475634866,0.3899999999999999
2019-12-04,603886.SH,59.177051042047054,0.5599999999999999,-0.99,4.0632,-2.29,-5.57,18.92,3.0201,1.07,18.7911,16.834,2.9912,2.3188,2.4313,454080.0,0.8408662900188324,-0.3329465291120996,-0.0347558456037259,0.3179245283018868,0.4003707136237256,-1.4317950908110053,0.5653382761816497,0.32
2021-03-11,603886.SH,52.63207303251758,0.05,-0.16,3.0079,-4.03,-2.71,16.73,0.5385,0.48,16.2055,15.1264,2.6917,1.8065,7.1727,401520.0,0.2297551789077213,-0.2679634199448396,-0.0727422036792591,0.4537735849056604,0.4300278035217794,-0.935726488041719,0.7349397590361446,0.48
2019-02-19,603887.SH,60.81720566606794,0.5599999999999999,-0.52,3.1696,0.09,1.53,15.0,1.0615,1.51,32.5796,25.857,2.6172,2.6608,0.9524,216300.0,0.8315839694656488,-0.0383733652197406,-0.0437400082084149,0.4451923076923076,0.2247403210576015,-0.8698211519504295,0.3692162417374882,0.54
2021-04-07,603887.SH,61.36075860785207,0.89,-0.75,4.701,-0.5599999999999999,-7.16,15.97,1.3474,0.82,15.2752,15.2752,1.6072,1.5249,0.2236,599803.5996,0.8315839694656488,-0.4345526139096427,-0.3412141328782779,0.1653846153846153,0.3427762039660056,-1.1175679481763132,0.0982058545797922,1.59
2018-09-27,603888.SH,60.60236600589349,0.53,-0.2299999999999999,2.3859,-0.7000000000000001,-4.99,16.53,0.7151,1.14,30.2138,29.839,3.1519,5.7105,0.0,857955.5321,0.8388989169675091,-0.0304296874999999,-0.4078882026607628,0.4713896457765668,0.5723214285714285,-0.7742172405647484,0.4741071428571428,0.24
2019-01-31,603888.SH,60.28446073299539,0.79,-1.7500000000000002,3.394,-4.569999999999999,-3.03,13.95,3.16,0.71,25.4981,25.179,2.6092,4.8192,1.4337,724045.9572,0.2310469314079422,-0.0073788265306122,-0.0710126899193974,0.1980018165304269,0.2348214285714285,-0.7430564366638713,0.3580357142857143,1.82
